tid,zid,pid,uid,created,modified,txt,velocity,mod,lang,lang_confidence,active,is_meta,tweet_id,quote_src_url,anon,is_seed
3124,51,5735,8950,1.69581E+12,1.69582E+12,Sähköverkko takaisin 100% valtion omistukseen. Vaikka väkisin.,1,-1,fi,1,FALSE,FALSE,NULL,NULL,FALSE,FALSE
2711,51,4922,8076,1.69546E+12,1.69582E+12,Lapsiperheköyhyys on svetismiä ja tarkoittaa lapsiperheiden vähäistä määrää. Se on eri asia kuin lapsiperheiden köyhyys.,1,-1,fi,1,FALSE,FALSE,NULL,NULL,FALSE,FALSE
1280,51,2257,5221,1.69487E+12,1.69488E+12,"Yhteiskunnan tärkeimpiä tehtäviä on huolehtia siitä, että yritykset kilpailevat keskenään.",1,-1,fi,1,FALSE,FALSE,NULL,NULL,FALSE,FALSE
1299,51,2257,5221,1.69487E+12,1.69488E+12,Kielikiintiöt ovat institutionaalista nepotismia.,1,-1,fi,1,FALSE,FALSE,NULL,NULL,FALSE,FALSE
361,51,458,3398,1.69476E+12,1.69488E+12,Kouluihin pitäisi saada opetusrauha eli vähemmän ylimääräistä työtä opettajille.,1,-1,fi,1,FALSE,FALSE,NULL,NULL,FALSE,FALSE
1300,51,2257,5221,1.69487E+12,1.69493E+12,Koulujen oppimateriaali kannattaa toteuttaa avoimen lähdekoodin periaatteella.,1,-1,fi,1,FALSE,FALSE,NULL,NULL,FALSE,FALSE
1312,51,524,3464,1.69488E+12,1.69493E+12,Perustoimeentulotuki tulisi korvata perustulolla.,1,-1,fi,1,FALSE,FALSE,NULL,NULL,FALSE,FALSE
1322,51,2303,5267,1.69488E+12,1.69493E+12,Kaksoiskansallisuuksien myöntäminen venäläisille tulisi lopettaa ja jo aikaisemmin myönnetyt perua.,1,-1,fi,1,FALSE,FALSE,NULL,NULL,FALSE,FALSE
1329,51,888,3844,1.69488E+12,1.69493E+12,omaishoitajan palkkio verottomaksi,1,-1,fi,1,FALSE,FALSE,NULL,NULL,FALSE,FALSE
1335,51,779,3734,1.69488E+12,1.69493E+12,"Kaikkien Nato-sotilaidenkin tulee olla kaikkien Suomen lakien alaisia, mikäli he ovat Suomessa. Yhdysvaltalaisille ei poikkeuksia.",1,-1,fi,1,FALSE,FALSE,NULL,NULL,FALSE,FALSE
1284,51,2257,5221,1.69487E+12,1.69494E+12,"Puolueiden vaurastuminen, sekä työmarkkinajärjestöjen ulkoparlamentaarinen valta heikentävät demokratiaa hallintomuotona.",1,-1,fi,1,FALSE,FALSE,NULL,NULL,FALSE,FALSE
1332,51,2331,5295,1.69488E+12,1.69494E+12,Kirjat pitää vapauttaa arvonlisäverosta.,1,-1,fi,1,FALSE,FALSE,NULL,NULL,FALSE,FALSE
1308,51,2265,5229,1.69487E+12,1.69488E+12,Eläkkeen pitäisi olla verotonta tuloa.,1,-1,fi,1,FALSE,FALSE,NULL,NULL,FALSE,FALSE
1283,51,2257,5221,1.69487E+12,1.69488E+12,Demokratia pyrkii aina siirtämään ongelmien ratkaisemista aina seuraavien vaalien taakse.,1,1,fi,1,TRUE,FALSE,NULL,NULL,FALSE,FALSE
1326,51,2315,5279,1.69488E+12,1.69488E+12,Juusto tulee leikkeleen päälle,1,-1,fi,1,FALSE,FALSE,NULL,NULL,FALSE,FALSE
1333,51,2338,5302,1.69488E+12,1.69488E+12,Kohtuus kunniaan.,1,-1,fi,1,FALSE,FALSE,NULL,NULL,FALSE,FALSE
1303,51,2257,5221,1.69487E+12,1.69488E+12,Suomesta puuttuu poliittisesti riippumaton perustuslakituomioistuin.,1,-1,fi,1,TRUE,FALSE,NULL,NULL,FALSE,FALSE
387,51,482,3422,1.69476E+12,1.69488E+12,"Meidän tulee yhteiskunnan kaikilla tasoilla pyrkiä toimimaan aktiivisesti rasismin vastaisesti, pelkkä ""en ole rasisti"" -toteamus ei riitä.",1,-1,fi,1,FALSE,FALSE,NULL,NULL,FALSE,FALSE
1291,51,2257,5221,1.69487E+12,1.69488E+12,Kaksi työeläkevakuuttajaa riittää.,1,-1,fi,1,FALSE,FALSE,NULL,NULL,FALSE,FALSE
3088,51,5691,8904,1.6958E+12,1.69582E+12,"Ottamalla dialogiset taidot koulujen opetussuunnitelmaan, kuntien työperehdytykseen yms.",1,-1,fi,1,FALSE,FALSE,NULL,NULL,FALSE,FALSE
1336,51,2354,5318,1.69488E+12,1.69489E+12,Joitain oikeuksia täytyy työntekijältäkin olla. Ei olla orjia.,1,-1,fi,1,FALSE,FALSE,NULL,NULL,FALSE,FALSE
1302,51,2257,5221,1.69487E+12,1.69493E+12,Kulutusluotot ovat kansantalouden näkökulmasta yksiselitteisen haitallisia.,1,-1,fi,1,FALSE,FALSE,NULL,NULL,FALSE,FALSE
1313,51,524,3464,1.69488E+12,1.69493E+12,Perustoimeentulotuki tulisi korvata negatiivisella tuloverolla.,1,-1,fi,1,FALSE,FALSE,NULL,NULL,FALSE,FALSE
1323,51,2260,5224,1.69488E+12,1.69493E+12,"Tiesin, että 5. sukupolven sodankäynti hyväksikäyttää mm. ihmisen kognitiivisia ennakkomieltymyksiä & dopamiinikoukutuksia (esm. skrollaus).",1,-1,fi,1,FALSE,FALSE,NULL,NULL,FALSE,FALSE
1285,51,2257,5221,1.69487E+12,1.69494E+12,Kaikille aloille on järkevää kouluttaa juuri sopiva määrä työttömiä.,1,-1,fi,1,FALSE,FALSE,NULL,NULL,FALSE,FALSE
1330,51,2330,5294,1.69488E+12,1.69494E+12,Erityisen tuen tarpeessa olevan omaisten hoitamista kotona pitää tukea paremmin.,1,-1,fi,1,FALSE,FALSE,NULL,NULL,FALSE,FALSE
1341,51,2371,5335,1.69489E+12,1.69494E+12,Kirkko pitäisi erottaa valtiosta ja Ylen hartausohjelmat siirtää omille kanavilleen.,1,-1,fi,1,FALSE,FALSE,NULL,NULL,FALSE,FALSE
3134,51,5822,9042,1.69583E+12,1.69623E+12,Luontokato pitää estää!,1,1,fi,1,TRUE,FALSE,NULL,NULL,FALSE,FALSE
3089,51,5691,8904,1.6958E+12,1.69582E+12,Toisten ihmisten kunnioittamista pitäisi opettaa lapsesta saakka.,1,-1,fi,1,FALSE,FALSE,NULL,NULL,FALSE,FALSE
0,51,0,138,1.69458E+12,1.69458E+12,Turkistarhaus pitäisi kieltää,1,1,fi,1,TRUE,FALSE,NULL,NULL,FALSE,TRUE
1,51,0,138,1.69458E+12,1.69458E+12,Suomea kehitetään liikaa kaupunkilaisten ehdoilla,1,1,fi,1,TRUE,FALSE,NULL,NULL,FALSE,TRUE
2,51,0,138,1.69458E+12,1.69458E+12,Kännykät tulisi kieltää kouluissa lasten hyvinvoinnin parantamiseksi,1,1,fi,1,TRUE,FALSE,NULL,NULL,FALSE,TRUE
3,51,0,138,1.69458E+12,1.69458E+12,"Bensan hintaa tulee hillitä, jotta kaikilla on varaa liikkua.",1,1,fi,1,TRUE,FALSE,NULL,NULL,FALSE,TRUE
