,txt,txt_en,is_seed,is_meta
0,Sähköverkko takaisin 100% valtion omistukseen. Vaikka väkisin.,Electricity network back to 100% state ownership. Even if by force.,0,0
1,Lapsiperheköyhyys on svetismiä ja tarkoittaa lapsiperheiden vähäistä määrää. Se on eri asia kuin lapsiperheiden köyhyys.,Family poverty with children is svetism and means a low number of families with children. It is different from the poverty of families with children.,0,0
2,"Yhteiskunnan tärkeimpiä tehtäviä on huolehtia siitä, että yritykset kilpailevat keskenään.",One of society's most important tasks is to ensure that companies compete with each other.,0,0
3,Kielikiintiöt ovat institutionaalista nepotismia.,Language quotas are institutional nepotism.,0,0
4,Kouluihin pitäisi saada opetusrauha eli vähemmän ylimääräistä työtä opettajille.,"Schools should have teaching peace, i.e. less extra work for teachers.",0,0
5,Koulujen oppimateriaali kannattaa toteuttaa avoimen lähdekoodin periaatteella.,The educational material of schools should be implemented on the principle of open source code.,0,0
6,Perustoimeentulotuki tulisi korvata perustulolla.,Basic income support should be replaced by basic income.,0,0
7,Kaksoiskansallisuuksien myöntäminen venäläisille tulisi lopettaa ja jo aikaisemmin myönnetyt perua.,The granting of dual citizenships to Russians should be stopped and those previously granted should be cancelled.,0,0
8,omaishoitajan palkkio verottomaksi,caregiver's fee tax-free,0,0
9,"Kaikkien Nato-sotilaidenkin tulee olla kaikkien Suomen lakien alaisia, mikäli he ovat Suomessa. Yhdysvaltalaisille ei poikkeuksia.","All NATO soldiers must also be subject to all Finnish laws, if they are in Finland. No exceptions for US citizens.",0,0
10,"Puolueiden vaurastuminen, sekä työmarkkinajärjestöjen ulkoparlamentaarinen valta heikentävät demokratiaa hallintomuotona.",The prosperity of parties and the extra-parliamentary power of labor market organizations weaken democracy as a form of government.,0,0
11,Kirjat pitää vapauttaa arvonlisäverosta.,Books must be exempted from VAT.,0,0
12,Eläkkeen pitäisi olla verotonta tuloa.,The pension should be tax-free income.,0,0
13,Demokratia pyrkii aina siirtämään ongelmien ratkaisemista aina seuraavien vaalien taakse.,Democracy always tries to postpone solving problems until the next election.,0,0
14,Juusto tulee leikkeleen päälle,Cheese comes on top of cold cuts,0,0
15,Kohtuus kunniaan.,Fairness to honor.,0,0
16,Suomesta puuttuu poliittisesti riippumaton perustuslakituomioistuin.,Finland lacks a politically independent constitutional court.,0,0
17,"Meidän tulee yhteiskunnan kaikilla tasoilla pyrkiä toimimaan aktiivisesti rasismin vastaisesti, pelkkä ""en ole rasisti"" -toteamus ei riitä.","At all levels of society, we should strive to act actively against racism, simply saying ""I'm not a racist"" is not enough.",0,0
18,Kaksi työeläkevakuuttajaa riittää.,Two occupational pension insurers are enough.,0,0
