,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
0,Electricity network back to 100% state ownership. Even if by force.,15,15_electricity_electric_power_cars,"['electricity', 'electric', 'power', 'cars', 'price', 'energy', 'car', 'biogas', 'battery', 'nuclear']","['Nuclear power, wind power, solar electricity, all distributed. We like to be self-sufficient!', 'The cost price of electric energy produced by nuclear power should be made public.', 'A price ceiling should be set for the price of gasoline and electricity (e.g. 95E 1.5€/l and electricity 5 cents/kwh).']",electricity - electric - power - cars - price - energy - car - biogas - battery - nuclear,1.0,False
1,Family poverty with children is svetism and means a low number of families with children. It is different from the poverty of families with children.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2,One of society's most important tasks is to ensure that companies compete with each other.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
3,Language quotas are institutional nepotism.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
4,"Schools should have teaching peace, i.e. less extra work for teachers.",4,4_school_students_education_schools,"['school', 'students', 'education', 'schools', 'be', 'student', 'support', 'bullying', 'should', 'the']","['Primary school class sizes should be reduced so that young people have enough adult support and presence at school.', ""A bully's school change only recycles the problem to another school. Instead, learning support services and special education must be increased."", 'School bullying should be increased in schools.']",school - students - education - schools - be - student - support - bullying - should - the,0.7570530400145329,False
5,The educational material of schools should be implemented on the principle of open source code.,4,4_school_students_education_schools,"['school', 'students', 'education', 'schools', 'be', 'student', 'support', 'bullying', 'should', 'the']","['Primary school class sizes should be reduced so that young people have enough adult support and presence at school.', ""A bully's school change only recycles the problem to another school. Instead, learning support services and special education must be increased."", 'School bullying should be increased in schools.']",school - students - education - schools - be - student - support - bullying - should - the,0.8309799780352886,False
6,Basic income support should be replaced by basic income.,5,5_work_salary_basic_week,"['work', 'salary', 'basic', 'week', 'unemployment', 'the', 'to', 'sick', 'income', 'support']","['The salary should always be so high that you can live reasonably without subsidies during a full working week - even with the lowest salary.', 'Everyone who is healthy and able to work should work or study. Ideologically, social benefits should be cut from the unemployed.', 'A 4-day work week increases work motivation and reduces sick leave. More employment.']",work - salary - basic - week - unemployment - the - to - sick - income - support,1.0,False
7,The granting of dual citizenships to Russians should be stopped and those previously granted should be cancelled.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
8,caregiver's fee tax-free,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
9,"All NATO soldiers must also be subject to all Finnish laws, if they are in Finland. No exceptions for US citizens.",-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
10,The prosperity of parties and the extra-parliamentary power of labor market organizations weaken democracy as a form of government.,2,2_media_the_of_democracy,"['media', 'the', 'of', 'democracy', 'to', 'and', 'is', 'should', 'in', 'not']","['I feel that it is difficult to discuss things in a relevant way on social media without fear of intentional misunderstanding', 'In elections, you should vote for things, not people.', ""Does the media have too much power to control people's opinions""]",media - the - of - democracy - to - and - is - should - in - not,0.643416626853014,False
11,Books must be exempted from VAT.,3,3_food_production_meat_fur,"['food', 'production', 'meat', 'fur', 'be', 'farming', 'should', 'animals', 'of', 'the']","[""Agriculture must be supported because own food production is a key part of Finland's security of supply."", 'The share of subsidies for food production, i.e. the real price of food, should be made visible to consumers', 'The state should transfer subsidies from animal-based food production to plant-based food production, taking security of supply into account']",food - production - meat - fur - be - farming - should - animals - of - the,0.23126093103064022,False
12,The pension should be tax-free income.,12,12_pension_pensions_security_pensioners,"['pension', 'pensions', 'security', 'pensioners', 'social', 'system', 'be', 'the', 'of', 'to']","['Everyone should earn their own pension and be able to influence where it is invested. The pension system should be renewed', ""The pension system belongs to the world of the 1960s. It's not today. Pension ceiling to be set at €2,000 and discretion. Pension payments down!"", 'Pensioners should be cut more and pension payments should be reduced for those who are working.']",pension - pensions - security - pensioners - social - system - be - the - of - to,0.5696302630161201,False
13,Democracy always tries to postpone solving problems until the next election.,2,2_media_the_of_democracy,"['media', 'the', 'of', 'democracy', 'to', 'and', 'is', 'should', 'in', 'not']","['I feel that it is difficult to discuss things in a relevant way on social media without fear of intentional misunderstanding', 'In elections, you should vote for things, not people.', ""Does the media have too much power to control people's opinions""]",media - the - of - democracy - to - and - is - should - in - not,1.0,False
14,Cheese comes on top of cold cuts,3,3_food_production_meat_fur,"['food', 'production', 'meat', 'fur', 'be', 'farming', 'should', 'animals', 'of', 'the']","[""Agriculture must be supported because own food production is a key part of Finland's security of supply."", 'The share of subsidies for food production, i.e. the real price of food, should be made visible to consumers', 'The state should transfer subsidies from animal-based food production to plant-based food production, taking security of supply into account']",food - production - meat - fur - be - farming - should - animals - of - the,0.5328689977758481,False
15,Fairness to honor.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
16,Finland lacks a politically independent constitutional court.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
17,"At all levels of society, we should strive to act actively against racism, simply saying ""I'm not a racist"" is not enough.",7,7_racism_immigration_immigrants_country,"['racism', 'immigration', 'immigrants', 'country', 'asylum', 'be', 'should', 'racist', 'with', 'is']","['When discussing immigration, work-based immigration and humanitarian immigration should be more clearly distinguished from each other.', 'Racism must be addressed.', 'When a government accepts racism as an instrument of its policy, it is as racist as a party whose goal is racism.']",racism - immigration - immigrants - country - asylum - be - should - racist - with - is,0.8899521274328869,False
18,Two occupational pension insurers are enough.,12,12_pension_pensions_security_pensioners,"['pension', 'pensions', 'security', 'pensioners', 'social', 'system', 'be', 'the', 'of', 'to']","['Everyone should earn their own pension and be able to influence where it is invested. The pension system should be renewed', ""The pension system belongs to the world of the 1960s. It's not today. Pension ceiling to be set at €2,000 and discretion. Pension payments down!"", 'Pensioners should be cut more and pension payments should be reduced for those who are working.']",pension - pensions - security - pensioners - social - system - be - the - of - to,0.610203544180582,False
19,"By including dialogic skills in the school curriculum, municipal work orientation, etc.",4,4_school_students_education_schools,"['school', 'students', 'education', 'schools', 'be', 'student', 'support', 'bullying', 'should', 'the']","['Primary school class sizes should be reduced so that young people have enough adult support and presence at school.', ""A bully's school change only recycles the problem to another school. Instead, learning support services and special education must be increased."", 'School bullying should be increased in schools.']",school - students - education - schools - be - student - support - bullying - should - the,0.768531243459319,False
20,The employee must also have some rights. There are no slaves.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
21,Consumer loans are unequivocally harmful from the point of view of the national economy.,0,0_taxation_the_be_tax,"['taxation', 'the', 'be', 'tax', 'income', 'of', 'to', 'should', 'and', 'must']","['Taxation must be reformed from income taxation to more consumption taxation', 'Taxation of capital should be increased and taxation of earned income should be lightened.', ""With the automation of production, the focus of taxation must be shifted from the taxation of employees' earned income to the taxation of companies and capital""]",taxation - the - be - tax - income - of - to - should - and - must,0.8479742475510236,False
22,Basic income support should be replaced by a negative income tax.,5,5_work_salary_basic_week,"['work', 'salary', 'basic', 'week', 'unemployment', 'the', 'to', 'sick', 'income', 'support']","['The salary should always be so high that you can live reasonably without subsidies during a full working week - even with the lowest salary.', 'Everyone who is healthy and able to work should work or study. Ideologically, social benefits should be cut from the unemployed.', 'A 4-day work week increases work motivation and reduces sick leave. More employment.']",work - salary - basic - week - unemployment - the - to - sick - income - support,1.0,False
23,I knew that 5th generation warfare exploits e.g. human cognitive preferences & dopamine addictions (e.g. scrolling).,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
24,It makes sense to train just the right number of unemployed people for all sectors.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
