,Topic,Count,Name,Representation,Representative_Docs
0,-1,1257,-1_finland_the_in_of,"['finland', 'the', 'in', 'of', 'to', 'and', 'is', 'not', 'be', 'for']","['Finland to Finland', 'Pensioners do not get enough money in Finland, and if necessary, they have to take on debt to increase their pensions.', 'You can only move to Finland if you have a job in Finland']"
1,0,257,0_transport_cars_housing_cities,"['transport', 'cars', 'housing', 'cities', 'driving', 'electric', 'public', 'fuel', 'car', 'construction']","['Public transport should be free in order to end private driving.', 'Public transport must be improved in remote areas so that private cars are not needed so much.', 'public transport must be improved so that private cars can be reduced']"
2,1,135,1_taxation_tax_income_taxed,"['taxation', 'tax', 'income', 'taxed', 'capital', 'taxes', 'earned', 'companies', 'be', 'should']","[""With the automation of production, the focus of taxation must be shifted from the taxation of employees' earned income to the taxation of companies and capital"", 'Taxation of capital should be increased and taxation of earned income should be lightened.', 'The focus of taxation must be shifted from taxation of earned income to taxation of consumption.']"
3,2,111,2_democracy_parliament_voting_election,"['democracy', 'parliament', 'voting', 'election', 'vote', 'mps', 'parliamentary', 'elections', 'member', 'party']","['In order to participate in any election-related voting, a person must show that they understand what to vote for, even with a short test.', ""Voting in the presidential election should be like in reality TV: in each round, you vote who you don't want to continue."", 'Party discipline is a significant threat to democracy. Every Member of Parliament should vote according to their conscience without fear of sanctions.']"
4,3,106,3_speech_freedom_discussion_others,"['speech', 'freedom', 'discussion', 'others', 'opinions', 'social', 'media', 'opinion', 'difficult', 'things']","['Freedom of speech is restricted too much, and from the perspective of freedom of speech, the future is bleak.', 'Today we get offended by everything. You are not allowed to say anything and it is defined what opinion a person can have about something. There is no freedom of speech.', 'Freedom of speech']"
5,4,97,4_food_meat_production_plantbased,"['food', 'meat', 'production', 'plantbased', 'agriculture', 'products', 'vegetable', 'protein', 'domestic', 'supply']","[""Agriculture must be supported because own food production is a key part of Finland's security of supply."", 'Appreciation of local food must be increased in order to secure domestic food production', 'Public food services must be developed so that vegetarian food increases and the use of meat decreases. Vegetable proteins to replace meat.']"
6,5,80,5_society_wellbeing_life_people,"['society', 'wellbeing', 'life', 'people', 'good', 'is', 'person', 'own', 'everyone', 'better']","['Instead of increasing material, energy and services, we should think together about what is a good life, what is enough for it and how to pursue it', 'All people do not have equal opportunities to participate in working life or to improve their position in society.', 'Society should work so that as many people as possible are good. And not on the weakest terms.']"
7,6,76,6_climate_change_nature_loss,"['climate', 'change', 'nature', 'loss', 'goals', 'limits', 'of', 'natures', 'emissions', 'the']","['Climate change is our biggest security threat.', 'I fear climate change', 'Climate change and loss of nature will cause the collapse of our civilization towards the end of this century.']"
8,7,72,7_immigration_immigrants_asylum_country,"['immigration', 'immigrants', 'asylum', 'country', 'refugees', 'workbased', 'seekers', 'refugee', 'crimes', 'borders']","['Immigrants who do not accept the offered work should be removed from the country.', 'Asylum seekers who have committed a crime must be removed from the country with their families', 'When discussing immigration, work-based immigration and humanitarian immigration should be more clearly distinguished from each other.']"
9,8,71,8_economic_growth_economy_our,"['economic', 'growth', 'economy', 'our', 'system', 'continuous', 'pursuit', 'continue', 'based', 'we']","['Our economic system based on continuous growth must change in order to keep the planet viable.', 'Our economy, based on the idea of \u200b\u200bcontinuous economic growth, in its current form is not able to solve the destruction of nature and climate change.', 'Our economic system is unsustainable. The pursuit of continuous economic growth exhausts both nature and people.']"
10,9,70,9_media_news_yles_yle,"['media', 'news', 'yles', 'yle', 'programs', 'journalists', 'tv', 'politicians', 'candidates', 'positive']","['Yle\'s news should have a ""news guarantee"" of at least one positive piece of news.', 'The media, especially YLE, is full of green-left journalists', 'The media should raise more positive news and solutions to social problems.']"
11,10,64,10_students_education_study_student,"['students', 'education', 'study', 'student', 'university', 'studying', 'adult', 'support', 'degree', 'compulsory']","['Academic fees should be introduced in higher education institutions for all students.', 'Students should not be cut', 'It should be possible for all students to study for a university degree without taking out loans and working.']"
