,topic,topic_en,txt,txt_en,is_seed,is_meta,agree_count,disagree_count,pass_count,count
4,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,"Julkisella puolella on ei ole rahaa tarjota sitä tukea, mitä olisin tarvinnut läheiseni kuoltua.",The public sector does not have the money to offer the support I would have needed if my loved one died.,1,0,110.0,18.0,157.0,285.0
5,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,"Luotan siihen, että minusta ja edesmenneestä läheisestäni kerättyjä tietoja ei käytetä väärin.",I trust that the information collected about me and my deceased loved one will not be misused.,1,0,162.0,52.0,77.0,291.0
6,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,"Jos kaikki palvelut kootaan yhteen kokonaisuuteen, haluan itse päättää, kuka näkee tietojani.","If all services are combined into one entity, I want to decide myself who sees my data.",1,0,238.0,16.0,43.0,297.0
7,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,"Jos voin asioida omaiseni puolesta helpommin, luovutan mielelläni omia ja omaiseni tietoja enemmän myös yksityisille palveluntarjoajille","If I can do business on behalf of my family more easily, I will gladly hand over more of my own and my family's information to private service providers as well",1,0,138.0,77.0,88.0,303.0
8,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,"Kun läheiseni kuoli, koin asioinnin hankalaksi.","When my loved one died, I found it difficult to do business.",1,0,199.0,27.0,78.0,304.0
9,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,"Läheiseni kuoltua en tiennyt, mistä aloittaa hautajaisiin ja perunkirjoitukseen liittyvien asioiden hoitaminen.","After my loved one died, I didn't know where to start with things related to the funeral and the foundation.",1,0,139.0,89.0,77.0,305.0
10,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Surevia ihmisiä juoksutetaan nykyisin luukulta luukulle hoitamassa edesmenneen läheisensä asioita.,"Nowadays, grieving people are running from door to door looking after the affairs of their deceased loved ones.",1,0,252.0,17.0,36.0,305.0
11,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,"On kohtuutonta, jos kuolemaan liittyvä asiointi siirretään täysin verkkoon.",It is unreasonable if dealings related to death are completely transferred online.,1,0,160.0,99.0,62.0,321.0
12,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,"Suomalaiset ovat jo niin digitaitoista kansaa, että sähköinen asiointi on suurimmalle osalle helppoa",Finns are already such a digital-savvy people that doing business electronically is easy for most of them,1,0,139.0,114.0,59.0,312.0
13,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,"Mitä enemmän digipalveluihin satsataan, sitä huonommaksi perinteinen palvelu muuttuu.","The more investment is made in digital services, the worse the traditional service becomes.",1,0,127.0,100.0,87.0,314.0
14,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,"On helpottavaa, kun omaisen kuolemaan liittyvää asioita ei tarvitse hoitaa kasvotusten asiakaspalvelijan kanssa, vaan sähköisesti","It is easier when matters related to the death of a relative do not have to be handled face-to-face with a customer service representative, but electronically",1,0,139.0,78.0,86.0,303.0
15,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,"Läheisen kuolema on niin herkkä asia, ettei siihen liittyvää asiointia pidä automatisoida.",The death of a loved one is such a sensitive matter that dealings related to it should not be automated.,1,0,91.0,123.0,90.0,304.0
16,Miten läheisen kuolemaan liittyvästä asioinnista voisi tehdä helpompaa?,How could dealings related to the death of a loved one be made easier?,Läheisen kuolemaan liittyvien asioiden hoitaminen on nykyisinkin sujuvaa.,Dealing with matters related to the death of a loved one is still smooth nowadays.,1,0,32.0,179.0,71.0,282.0
